Model,Reference,Precision,Recall,F1
Claude3_5_0-shot,TruthfulQA_yue_best.txt,0.593700,0.715391,0.648287
Claude3_5_0-shot,TruthfulQA_yue_correct.txt,0.642699,0.713618,0.675601
Claude3_5_0-shot,TruthfulQA_yue_incorrect.txt,0.624270,0.699739,0.659259
Claude3_5_5-shot,TruthfulQA_yue_best.txt,0.588822,0.723544,0.648415
Claude3_5_5-shot,TruthfulQA_yue_correct.txt,0.642590,0.726901,0.681243
Claude3_5_5-shot,TruthfulQA_yue_incorrect.txt,0.616562,0.702479,0.655712
ERNIE-Lite_0-shot,TruthfulQA_yue_best.txt,0.650469,0.706451,0.676062
ERNIE-Lite_0-shot,TruthfulQA_yue_correct.txt,0.677090,0.678571,0.676399
ERNIE-Lite_0-shot,TruthfulQA_yue_incorrect.txt,0.666245,0.673537,0.668622
ERNIE-Lite_5-shot,TruthfulQA_yue_best.txt,0.640947,0.718856,0.676811
ERNIE-Lite_5-shot,TruthfulQA_yue_correct.txt,0.674728,0.696667,0.684488
ERNIE-Lite_5-shot,TruthfulQA_yue_incorrect.txt,0.654233,0.682802,0.667268
ERNIE-Speed_0-shot,TruthfulQA_yue_best.txt,0.664000,0.706105,0.683335
ERNIE-Speed_0-shot,TruthfulQA_yue_correct.txt,0.685373,0.674056,0.678434
ERNIE-Speed_0-shot,TruthfulQA_yue_incorrect.txt,0.673627,0.667263,0.669263
ERNIE-Speed_5-shot,TruthfulQA_yue_best.txt,0.658278,0.715851,0.684866
ERNIE-Speed_5-shot,TruthfulQA_yue_correct.txt,0.683499,0.684300,0.682705
ERNIE-Speed_5-shot,TruthfulQA_yue_incorrect.txt,0.666559,0.674389,0.669340
ERNIE-Tiny_0-shot,TruthfulQA_yue_best.txt,0.692135,0.711030,0.700508
ERNIE-Tiny_0-shot,TruthfulQA_yue_correct.txt,0.704177,0.668046,0.684453
ERNIE-Tiny_0-shot,TruthfulQA_yue_incorrect.txt,0.695576,0.666263,0.679605
ERNIE-Tiny_5-shot,TruthfulQA_yue_best.txt,0.693474,0.716949,0.703879
ERNIE-Tiny_5-shot,TruthfulQA_yue_correct.txt,0.706178,0.673915,0.688383
ERNIE-Tiny_5-shot,TruthfulQA_yue_incorrect.txt,0.693385,0.667372,0.678954
ERNIE-Turbo_0-shot,TruthfulQA_yue_best.txt,0.613371,0.699068,0.652014
ERNIE-Turbo_0-shot,TruthfulQA_yue_correct.txt,0.652466,0.685361,0.667055
ERNIE-Turbo_0-shot,TruthfulQA_yue_incorrect.txt,0.642388,0.684465,0.661502
ERNIE-Turbo_5-shot,TruthfulQA_yue_best.txt,0.638054,0.716925,0.673852
ERNIE-Turbo_5-shot,TruthfulQA_yue_correct.txt,0.672914,0.696044,0.682903
ERNIE-Turbo_5-shot,TruthfulQA_yue_incorrect.txt,0.654399,0.683933,0.667574
gemma2-27b-it-hf_0-shot,TruthfulQA_yue_best.txt,0.546176,0.691590,0.609381
gemma2-27b-it-hf_0-shot,TruthfulQA_yue_correct.txt,0.599510,0.697977,0.644103
gemma2-27b-it-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.584428,0.686136,0.630395
gemma2-27b-it-hf_5-shot,TruthfulQA_yue_best.txt,0.560490,0.687892,0.615415
gemma2-27b-it-hf_5-shot,TruthfulQA_yue_correct.txt,0.603039,0.679008,0.636614
gemma2-27b-it-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.588082,0.666140,0.622759
GLM4_0-shot,TruthfulQA_yue_best.txt,0.588746,0.709411,0.642819
GLM4_0-shot,TruthfulQA_yue_correct.txt,0.638985,0.711612,0.672587
GLM4_0-shot,TruthfulQA_yue_incorrect.txt,0.623404,0.702542,0.659978
GLM4_5-shot,TruthfulQA_yue_best.txt,0.659061,0.740872,0.696485
GLM4_5-shot,TruthfulQA_yue_correct.txt,0.693006,0.715902,0.702986
GLM4_5-shot,TruthfulQA_yue_incorrect.txt,0.667699,0.697476,0.680890
gpt-3.5-turbo-instruct_0-shot,TruthfulQA_yue_best.txt,0.663022,0.696918,0.678363
gpt-3.5-turbo-instruct_0-shot,TruthfulQA_yue_correct.txt,0.690910,0.667850,0.677829
gpt-3.5-turbo-instruct_0-shot,TruthfulQA_yue_incorrect.txt,0.684772,0.667024,0.674547
gpt-3.5-turbo-instruct_5-shot,TruthfulQA_yue_best.txt,0.704154,0.735735,0.718728
gpt-3.5-turbo-instruct_5-shot,TruthfulQA_yue_correct.txt,0.720852,0.689921,0.704085
gpt-3.5-turbo-instruct_5-shot,TruthfulQA_yue_incorrect.txt,0.700065,0.676224,0.686920
gpt-4_0-shot,TruthfulQA_yue_best.txt,0.628522,0.722420,0.670760
gpt-4_0-shot,TruthfulQA_yue_correct.txt,0.671547,0.712740,0.689886
gpt-4_0-shot,TruthfulQA_yue_incorrect.txt,0.655661,0.703300,0.677191
gpt-4_5-shot,TruthfulQA_yue_best.txt,0.689913,0.755353,0.719962
gpt-4_5-shot,TruthfulQA_yue_correct.txt,0.712598,0.715362,0.712621
